Original_SMILES,R1,R2,R3,R4,cellv
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2C(COC2=O)C1,O=C1OCC2CN([*:1])CCN12,[H][*:2],F[*:3],[H][*:4],39.21521614
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2CCCCC2)C=CN=C1,C1CCC(O[*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],39.0153069
CC(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CC(=O)N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],38.63438772
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(O[C@@H]2CCOC2)C=CN=C1,C1C[C@@H](O[*:1])CO1,[H][*:2],Cl[*:3],[H][*:4],38.59596663
CN1C=NC=C1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,Cn1cncc1[*:1],F[*:2],F[*:3],[H][*:4],38.03315469
COC(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,COC(=O)C1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],37.98968006
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(O[C@H]2CCOC2)C=CN=C1,C1C[C@H](O[*:1])CO1,[H][*:2],Cl[*:3],[H][*:4],37.96735395
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CC2CCCN2C(=O)C1,O=C1CN([*:1])CC2CCCN12,[H][*:2],F[*:3],[H][*:4],37.89926625
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(OC2CCCOC2)C=CN=C1,C1COCC(O[*:1])C1,[H][*:2],Cl[*:3],[H][*:4],37.72267932
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(OCCCO)C=CN=C1,OCCCO[*:1],[H][*:2],Cl[*:3],[H][*:4],37.59730329
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)C1CC1,C1CC1[*:1],[H][*:2],F[*:3],[H][*:4],37.39326759
CC1=NC=NN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,Cc1ncnn1[*:1],F[*:2],F[*:3],[H][*:4],37.18138412
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2COC2)C=CN=C1,C1OCC1O[*:1],[H][*:2],F[*:3],[H][*:4],37.0240595
CC(C)OC1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,CC(C)O[*:1],[H][*:2],N#CC[*:3],[H][*:4],36.60284728
CC1=C(N=NC=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1ccnnc1[*:1],[H][*:2],F[*:3],[H][*:4],36.56365667
CC1=NC=NN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1ncnn1[*:1],[H][*:2],F[*:3],[H][*:4],36.46217021
CN1CCN(CC1=O)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1=O,[H][*:2],F[*:3],[H][*:4],36.3795078
CC1=NN(C=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1ccn([*:1])n1,[H][*:2],F[*:3],[H][*:4],36.30214687
CS(=O)(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CS(=O)(=O)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],36.17909753
CC(=O)N1CCC(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC(=O)N1CCC([*:1])CC1,[H][*:2],F[*:3],[H][*:4],35.78550723
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(OC2CCOCC2)C=CN=C1,C1CC(O[*:1])CCO1,[H][*:2],Cl[*:3],[H][*:4],35.67041252
CN(C)C(=O)C1CCCN(C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN(C)C(=O)C1CCCN([*:1])C1,[H][*:2],F[*:3],[H][*:4],35.59911217
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2CC[S+]([O-])CC2)C=CN=C1,[O-][S+]1CCC(O[*:1])CC1,[H][*:2],F[*:3],[H][*:4],35.50003044
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3[C@H](CCCC3=O)C2)C(F)=CN=C1,O=C1CCC[C@@H]2CN([*:1])CCN12,F[*:2],F[*:3],[H][*:4],35.42888651
CC1=NN(C(C)=N1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1nc(C)n([*:1])n1,[H][*:2],F[*:3],[H][*:4],35.34462619
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)S(=O)(=O)C1CCOC1,O=S(=O)(C1CCOC1)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],35.27532691
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(OC2=CC=CC=C2)C=CN=C1,c1ccc(O[*:1])cc1,[H][*:2],N#CC[*:3],[H][*:4],35.14976717
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(OCC(F)(F)F)C=CN=C1,FC(F)(F)CO[*:1],[H][*:2],Cl[*:3],[H][*:4],35.01979776
CC(C)(C)OC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC(C)(C)O[*:1],[H][*:2],F[*:3],[H][*:4],34.76992331
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2C(CCCC2=O)C1,O=C1CCCC2CN([*:1])CCN12,[H][*:2],F[*:3],[H][*:4],34.58150959
CS(=O)(=O)C1CCN(C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1Cl,CS(=O)(=O)C1CCN([*:1])C1,Cl[*:2],F[*:3],[H][*:4],34.29642037
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)S(=O)(=O)C1CCOCC1,O=S(=O)(C1CCOCC1)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],34.08076085
CN1CCN(CC1=O)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CN1CCN([*:1])CC1=O,F[*:2],F[*:3],[H][*:4],33.63327178
CC1=CC=NN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1ccnn1[*:1],[H][*:2],F[*:3],[H][*:4],33.47173477
CC1(C)CCCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC1(C)CCCN1[*:1],[H][*:2],F[*:3],[H][*:4],33.32004099
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCCC2)C(F)=CN=C1,C1CCN([*:1])C1,F[*:2],F[*:3],[H][*:4],33.20048667
CC1=NN=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1nncn1[*:1],[H][*:2],F[*:3],[H][*:4],33.12563074
COCCS(=O)(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COCCS(=O)(=O)C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],33.05104178
CS(=O)(=O)C1CCCN(C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CS(=O)(=O)C1CCCN([*:1])C1,[H][*:2],F[*:3],[H][*:4],32.91918404
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2CCS(=O)(=O)CC2)C=CN=C1,O=S1(=O)CCC(O[*:1])CC1,[H][*:2],F[*:3],[H][*:4],32.4105947
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCS(=O)CC1,O=S1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],32.33924506
CN(C)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN(C)C(=O)C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],32.0444994
CN(C)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CN(C)C(=O)C1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],31.92766708
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCCC2)C(Cl)=CN=C1,C1CCN([*:1])C1,Cl[*:2],F[*:3],[H][*:4],31.87144655
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCC(CC2)C(=O)NC2COC2)C(F)=CN=C1,O=C(NC1COC1)C1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],31.7108186
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3C(CCC3=O)C2)C(F)=CN=C1,O=C1CCC2CN([*:1])CCN12,F[*:2],F[*:3],[H][*:4],31.51135265
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CC3CCCN3C(=O)C2)C(F)=CN=C1,O=C1CN([*:1])CC2CCCN12,F[*:2],F[*:3],[H][*:4],31.41380302
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)C1=CC=CC=C1,c1ccc([*:1])cc1,[H][*:2],N#CC[*:3],[H][*:4],31.25354444
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCCC1,C1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],31.21282364
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2[C@@H](CCC2=O)C1,O=C1CC[C@H]2CN([*:1])CCN12,[H][*:2],F[*:3],[H][*:4],30.98045611
CS(=O)(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CS(=O)(=O)C1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],30.77256004
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCC(CC2)C(=O)N2CCOCC2)C(F)=CN=C1,O=C(C1CCN([*:1])CC1)N1CCOCC1,F[*:2],F[*:3],[H][*:4],30.76183056
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3C(CCCC3=O)C2)C(F)=CN=C1,O=C1CCCC2CN([*:1])CCN12,F[*:2],F[*:3],[H][*:4],30.73350827
NC1=NN2C=C(CC#N)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCCCC1,C1CCCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],30.59630424
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3[C@@H](CCCC3=O)C2)C(F)=CN=C1,O=C1CCC[C@H]2CN([*:1])CCN12,F[*:2],F[*:3],[H][*:4],30.59594216
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)S(=O)(=O)C2CCOCC2)C(F)=CN=C1,O=S(=O)(C1CCOCC1)N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],30.56205757
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3[C@H](COC3=O)C2)C(F)=CN=C1,O=C1OC[C@@H]2CN([*:1])CCN12,F[*:2],F[*:3],[H][*:4],30.54846652
COC(=O)[C@H]1CC[C@@H](CC1)OC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COC(=O)[C@H]1CC[C@H](O[*:1])CC1,[H][*:2],F[*:3],[H][*:4],30.444829499999997
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)S(=O)(=O)C1COC1,O=S(=O)(C1COC1)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],30.37968854
CC1(C)CN(CCS1(=O)=O)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC1(C)CN([*:1])CCS1(=O)=O,[H][*:2],F[*:3],[H][*:4],30.14801542
COC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COC1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],29.95251812
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCCCC2)C(F)=CN=C1,C1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],29.94148978
COC1=CN=CC(NC(=O)C2=C3N=CC(F)=CN3N=C2N)=C1C1=CN=CC=C1,c1cncc([*:1])c1,CO[*:2],F[*:3],[H][*:4],29.78731062
CN1C=CC(=N1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cn1ccc([*:1])n1,[H][*:2],F[*:3],[H][*:4],29.63244963
CS(=O)(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CS(=O)(=O)C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],28.91501202
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN3[C@H](CCC3=O)C2)C(F)=CN=C1,O=C1CC[C@@H]2CN([*:1])CCN12,F[*:2],F[*:3],[H][*:4],28.82793505
CN1N=NC=C1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cn1nncc1[*:1],[H][*:2],F[*:3],[H][*:4],28.78406028
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)C1=CC=CC=C1,c1ccc([*:1])cc1,[H][*:2],F[*:3],[H][*:4],28.72350946
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCC(O)C2)C(Cl)=CN=C1,OC1CCN([*:1])C1,Cl[*:2],F[*:3],[H][*:4],28.65749777
CO[C@@H]1CCN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CO[C@@H]1CCN(C(=O)C2CCN([*:1])CC2)C1,[H][*:2],F[*:3],[H][*:4],28.6296403
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CC[C@H](C2)C#N)C(Cl)=CN=C1,N#C[C@@H]1CCN([*:1])C1,Cl[*:2],F[*:3],[H][*:4],28.462411100000004
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCCCC1,C1CCCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],28.42166635
CC1=NN(C=N1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1ncn([*:1])n1,[H][*:2],F[*:3],[H][*:4],28.36882305
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2[C@@H](CCS2(=O)=O)C1,O=S1(=O)CC[C@H]2CN([*:1])CCN21,[H][*:2],F[*:3],[H][*:4],28.34000093
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C(=O)C2CCOC2)C(F)=CN=C1,O=C(C1CCOC1)N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],28.20682449
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCCC1,C1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],28.02989496
COCC1CN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,COCC1CN(C(=O)C2CCN([*:1])CC2)C1,F[*:2],F[*:3],[H][*:4],28.026949
CS(=O)(=O)C1CN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CS(=O)(=O)C1CN(C(=O)C2CCN([*:1])CC2)C1,F[*:2],F[*:3],[H][*:4],27.81610185
COC(=O)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,COC(=O)N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],27.7973667
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)C1=C(O)N=CC=C1,Oc1ncccc1[*:1],[H][*:2],F[*:3],[H][*:4],27.769981
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2[C@H](CCC2=O)C1,O=C1CC[C@@H]2CN([*:1])CCN12,[H][*:2],F[*:3],[H][*:4],27.70279785
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCCC2(COC2)C1,C1CN([*:1])CC2(C1)COC2,[H][*:2],F[*:3],[H][*:4],27.65593495
COCCN(C)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,COCCN(C)C(=O)C1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],27.65409705
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCC(CC1)C(=O)N1CCOCC1,O=C(C1CCN([*:1])CC1)N1CCOCC1,[H][*:2],F[*:3],[H][*:4],27.61989946
CC1=C(C=CN=N1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1nnccc1[*:1],[H][*:2],F[*:3],[H][*:4],27.44109034
COC1CN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,COC1CN(C(=O)C2CCN([*:1])CC2)C1,F[*:2],F[*:3],[H][*:4],26.95916736
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C(=O)C1COC1,O=C(C1COC1)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],26.88846511
CS(=O)(=O)C1CN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CS(=O)(=O)C1CN(C(=O)C2CCN([*:1])CC2)C1,[H][*:2],F[*:3],[H][*:4],26.83169306
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(OC2=CN=CC=C2)C=CN=C1,c1cncc(O[*:1])c1,[H][*:2],F[*:3],[H][*:4],26.82994834
CO[C@H]1CCN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CO[C@H]1CCN(C(=O)C2CCN([*:1])CC2)C1,F[*:2],F[*:3],[H][*:4],26.48796922
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)C1=CC=NN=C1,c1cc([*:1])cnn1,[H][*:2],F[*:3],[H][*:4],26.45242739
COCC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COCC1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],26.34605102
COC1(C)CN(C1)C(=O)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COC1(C)CN(C(=O)C2CCN([*:1])CC2)C1,[H][*:2],F[*:3],[H][*:4],26.17182807
COC(=O)[C@@H]1CC[C@@H](CC1)OC1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COC(=O)[C@H]1CC[C@@H](O[*:1])CC1,[H][*:2],F[*:3],[H][*:4],26.14307292
