Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-C-36,25.36330307,447.4712974,43.82206566,65.54897194,67.83978514,0.287367956
Compound_I-C-37,23.35195575,840.7665235,32.31651934,55.51922132,65.44822328,0.242020702
Compound_I-C-38,6.65745429,17.78331075,6.872810868,7.584975226,15.54235814,0.089055162
Compound_I-C-39,8.962926579,32.77173512,7.347287844,10.90314507,18.10395492,0.141504004
Compound_I-C-40,5.281780585,19.06872094,4.726313419,6.498972393,9.93789161,0.106659333
Compound_I-C-41,5.711313789,16.26297835,5.005896367,6.1029437,10.39538166,0.116686931
Compound_I-C-42,37.39326759,138219.3417,74.01449272,184.7985588,143.7634012,0.682219911
Compound_I-C-43,5.896333713,22.24182833,7.072908362,8.154334784,15.16053888,0.102480752
Compound_I-C-44,6.027530914,19.58087941,5.193387419,6.605536763,11.87324672,0.132937341
Compound_I-C-45,6.868451201,24.10681792,6.370374257,9.375495687,13.77337079,0.114220443
Compound_I-C-46,6.717986358,24.95623912,6.689363901,9.637375488,14.3785551,0.140572743
Compound_I-C-47,20.17772646,4191.530498,36.78046949,72.77691543,69.08848235,0.211368248
Compound_I-C-48,5.139634716,15.53536673,4.923584782,5.507797073,10.5365842,0.113657848
Compound_I-C-49,6.312895757,30.55266377,5.037389367,7.754809363,11.7427751,0.144031018
Compound_I-C-50,8.143257914,22.78815102,14.15749709,14.64469667,28.04772925,0.140450771
Compound_I-C-51,6.058144546,31.41315108,5.340212565,9.107512954,11.39301049,0.128358519
Compound_I-C-52,8.349365186,47.77710612,6.736671933,11.23180405,15.47363358,0.135198002
Compound_I-C-53,6.909731501,23.29213947,6.231869673,7.880867075,12.73681202,0.143472125
Compound_I-C-54,6.031535255,23.74226023,6.671119419,7.404877608,12.90983564,0.128165563
Compound_I-C-55,18.5252231,652.9719293,29.67296358,47.86581355,50.90071441,0.222779237
Compound_I-C-56,13.65203408,291.0552788,16.07936464,26.95140586,30.45875581,0.219361285
Compound_I-C-57,21.51137061,1885.876539,27.94185364,56.68523229,51.907056,0.165605408
Compound_I-C-58,21.96829825,30084.37569,53.06182548,98.56275902,104.0739002,0.223817951
Compound_I-C-59,18.83198091,1750.615968,31.2525813,48.74117928,71.19452054,0.167868147
