Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-C-22,112.2141523,12887.54493,204.7743427,412.0151797,393.5741593,3.490018801
Compound_I-C-23,79.11371804,635.8396296,114.5903707,190.4344198,218.0873932,3.01678116
Compound_I-C-24,123.7692258,13513.87434,227.1979175,392.532268,529.7044674,4.649756482
Compound_I-C-25,38.41581516,259.2414605,50.40245307,79.67881833,161.556159,1.962874849
Compound_I-C-26,262.9891865,28012933.38,627.4282032,994.3210982,1419.302066,7.421861934
Compound_I-C-27,144.4197526,21367.14658,329.9850242,633.6525628,677.9311376,3.984870274
Compound_I-C-28,191.7267508,428685.6144,289.6256914,507.2699851,776.0617228,4.644708397
Compound_I-C-29,135.37479,5324.118846,250.569984,400.3498934,502.9853109,5.172043349
Compound_I-C-30,149.2513421,8540.440497,294.6217785,444.0331141,544.9472379,5.173968787
Compound_I-C-31,267.9492917,91734883.17,764.5956602,1608.093772,1698.406375,7.893886043
Compound_I-C-32,266.6912925,1779723.44,608.7581899,1102.8279,1737.93029,9.1489473
Compound_I-C-33,325.7444008,14608188.87,1083.047062,2080.264537,1748.930652,10.86204686
Compound_I-C-34,132.6007132,49588.09501,282.8175783,546.8249951,528.7801893,4.995732321
Compound_I-C-35,171.8889987,843578.9628,377.2414705,787.1712617,874.0539774,5.939129686
Compound_I-C-36,149.7919002,15916.83859,319.7289892,525.536422,533.7503102,6.196009281
Compound_I-C-37,157.9974793,192062.424,328.022885,574.5072853,679.4413192,5.699057412
Compound_I-C-38,37.86810598,188.0152189,45.76250029,61.97424598,172.6908343,1.921055726
Compound_I-C-39,70.73528306,395.9932532,72.87356162,112.1212339,258.8098353,2.673150908
Compound_I-C-40,27.53587616,204.8066931,29.6059163,46.72550151,95.47248244,1.397191734
Compound_I-C-41,27.40223167,143.2872904,26.01708211,43.15229413,90.35175209,1.824692399
Compound_I-C-42,231.7324565,N/A,796.8000424,3594.576777,1439.041973,15.17037847
Compound_I-C-43,34.28852846,247.7650505,52.98380971,78.13071417,154.1931298,1.562536011
Compound_I-C-44,37.20786346,199.8838765,46.42740892,64.84399397,136.1679976,2.24436664
