index;count;R1
116;1;COC1CN(C2CCN([*:1])CC2)C1
117;1;O=C(C1CCN([*:1])CC1)N1CC[NH+]([O-])CC1
118;1;CC(=O)N1CCCC12CCN([*:1])CC2
119;1;O=C1CN([*:1])CC2CCCN12
120;1;c1csc(C2CCN([*:1])CC2)n1
121;1;O=S1(=O)CCN([*:1])CC1
122;1;CN1CCC(NC(=O)C2CCN([*:1])CC2)CC1
123;1;CN1CCN(CC2CCN([*:1])CC2)CC1
124;1;COC1CCN(C2CCN([*:1])CC2)C1
125;1;CC(C)N1CCC(C(=O)N2CCN([*:1])CC2)C1
126;1;O=C(C1CCN([*:1])CC1)N1CCN2CCCC2C1
127;1;Cc1ccnn1[*:1]
128;1;CN1CCOC2(CCN([*:1])CC2)C1
129;1;Cc1nc(C)n([*:1])n1
130;1;O=S1(=O)CCC(O[*:1])CC1
131;1;CN1CC[C@H](O[*:1])C1
132;1;C1CN2CCN([*:1])CC2CO1
133;1;Cc1nc(F)ccc1[*:1]
134;1;FC(F)(F)c1nccn1[*:1]
135;1;O=C(N1CCC([*:1])CC1)C12CCN(CC1)CC2
136;1;CN(C)C1CN(C(=O)C2CCN([*:1])CC2)C1
137;1;CN1C(=O)CCC12CCN([*:1])CC2
138;1;FC1(F)CN(C2CCN([*:1])CC2)C1
139;1;CS(=O)(=O)C1CCCN([*:1])C1
140;1;O=C(C1CCN([*:1])CC1)N1CC2(CCO2)C1
141;1;Cn1nncc1[*:1]
142;1;CNCCc1cnn([*:1])c1
143;1;Cc1ccc([*:1])cn1
144;1;CN(C)C(=O)C1CN([*:1])CCO1
145;1;c1ncn2c1CN(C1CCN([*:1])CC1)CC2
146;1;CC(C)(C)N1CCN([*:1])CC1
147;1;Cc1ncnn1[*:1]
148;1;Cn1ccc([*:1])n1
149;1;c1cn2c(n1)CN(C1CCN([*:1])CC1)CC2
150;1;CN1CCN(C(=O)c2ccc([*:1])cn2)CC1
151;1;CC(C)(C)NC(=O)C1CCN([*:1])CC1
152;1;CN(C)[C@H]1CCN([*:1])C[C@@H]1O
153;1;O=C(O)C1CCN([*:1])CC1
154;1;O=C1CCCN1C[*:1]
155;1;O=C(C1CCN([*:1])CC1)N1CCNC2CC21
156;1;Cc1cccnc1[*:1]
157;1;C1C[C@@H]2CN([*:1])CCN2C1
158;1;O=C(C1CCN([*:1])CC1)N1CCN2CC[C@H]1C2
159;1;O=C1CC[C@@H]2CN([*:1])CCN12
160;1;CN1CCN([*:1])CC1=O
161;1;Oc1ncccc1[*:1]
162;1;CN1C[C@@H]2CCN([*:1])C[C@@H]2C1=O
163;1;CC(C)(O)C1CCN([*:1])CC1
164;1;Cc1nccnc1[*:1]
165;1;CS(=O)(=O)c1ccc([*:1])cc1
166;1;CN1CCC([*:1])CC1=O
167;1;C1CN([*:1])CCC1N1CCC2(COC2)C1
168;1;C[C@H]1CN(C(=O)C2CCN([*:1])CC2)CCN1
169;1;CN1CC2(CCC1=O)CCN([*:1])CC2
170;1;CN(C)CN1CCN([*:1])CC1
171;1;CN1CCC[C@@H]1C(=O)N1CCN([*:1])CC1
172;1;c1cc([*:1])cnn1
173;1;c1ccc([*:1])cc1
174;1;CCN1CCC(C(=O)N2CCN([*:1])CC2)C1
175;1;O=S(=O)(C1CCN([*:1])CC1)N1CCOCC1
176;1;C[C@@H]1CN(C2COC2)CCN1[*:1]
177;1;O=C(O)C1CCC(O[*:1])CC1
178;1;O=C(C1CCN([*:1])CC1)N1CC(N2CCCCC2)C1
179;1;Cn1c([*:1])cccc1=O
180;1;CNC1CN(C(=O)C2CCN([*:1])CC2)C1
181;1;Cc1ccnnc1[*:1]
182;1;CN(C)C1CN(C2CCN([*:1])CC2)C1
183;1;Cc1ncn(C)c1[*:1]
184;1;CN1CCC(NC(=O)C2CCN([*:1])CC2)C1
185;1;O=S1(=O)CC[C@H]2CN([*:1])CCN21
186;1;Cc1nn(C)cc1[*:1]
187;1;O=S(=O)(C1CCOC1)N1CCN([*:1])CC1
188;1;CC1(C)CN([*:1])CCS1(=O)=O
189;1;CNC1CCN([*:1])CC1
190;1;C1CN([*:1])CCC1N1CC2(COC2)C1
191;1;O=C(C1CCN([*:1])CC1)N1CCCC1
192;1;Cc1cnccc1[*:1]
193;1;O=C(C1CCN([*:1])CC1)N1CC2CNCC2C1
194;1;CN1CCN([*:1])CC1CO
195;1;Cc1cncnc1[*:1]
196;1;C1CC([*:1])CO1
197;1;O=C(c1ccc([*:1])cc1)N1CCN2CCC1CC2
198;1;CN1CCN(C(=O)C2CCN([*:1])CC2)C2CC21
199;1;CC(=O)N1CCC([*:1])CC1
200;1;CC1(S(C)(=O)=O)CCN([*:1])CC1
201;1;C1OCC1N1CCC([*:1])CC1
202;1;c1cnn([*:1])c1
203;1;C1CC(N2CCN([*:1])CC2)CO1
204;1;COCCS(=O)(=O)C1CCN([*:1])CC1
205;1;COCCn1cncc1[*:1]
206;1;C[C@H]1CN(C(=O)C2CCN([*:1])CC2)CCN1C
207;1;CN1CC2CC1CN2C(=O)C1CCN([*:1])CC1
208;1;c1cn(C2CCN([*:1])CC2)cn1
209;1;O=C1CCCC2CN([*:1])CCN12
210;1;Cc1nnc(N2CCN([*:1])CC2)o1
211;1;O=S(=O)(C1COC1)N1CCN([*:1])CC1
212;1;CN1CCC(C(=O)N2CCN([*:1])CC2)C1
213;1;O=C(c1ccc([*:1])cn1)N1CCC(N2CCCC2)CC1
214;1;F[C@H]1CCN(C2CCN([*:1])CC2)C1
215;1;CN(C)CCN(C)C(=O)C1CCN([*:1])CC1
216;1;OC1CCN([*:1])C1
217;1;C1C[C@@H](N2CCN([*:1])CC2)CO1
218;1;CN1CCN(C(=O)[C@H]2CC[C@@H](O[*:1])CC2)CC1
219;1;CN1CCN([*:1])CC12CCOCC2
220;1;O=C(C1CCN([*:1])CC1)N1CCN(C2CC2)CC1
221;1;C1C[C@H](N2CCN([*:1])CC2)CO1
222;1;Cc1nonc1N1CCN([*:1])CC1
223;1;N#CC1(C(=O)N2CCC([*:1])CC2)CC1
224;1;COC(=O)[C@H]1CC[C@H](O[*:1])CC1
225;1;CN1CCN2CCN([*:1])CC2C1=O
226;1;O=C(c1ccc([*:1])cc1)N1CCNCC1
227;1;Cc1ccncc1[*:1]
228;1;C1CC2(CCN1[*:1])COC2
229;1;Cc1nc(C(F)(F)F)cn1[*:1]
230;1;O=C1OCC2CN([*:1])CCN12
231;1;c1nnc(C2CCN([*:1])CC2)o1
232;1;CN(C)CCNC(=O)C1CCN([*:1])CC1
233;1;Cn1ncnc1[*:1]
234;1;C1CNC[C@@H](O[*:1])C1
235;1;FC(F)(F)C1CN([*:1])CCN1
236;1;CN1CC2(CCN([*:1])CC2)OC1=O
237;1;Cc1ccn([*:1])n1
238;1;O=S(=O)(N1CCN([*:1])CC1)N1CCN2CCC1CC2
239;1;CN(C)C1CCCN([*:1])C1
240;1;CN1CCN(C(=O)c2ccc([*:1])cc2)CC1
241;1;CC(=O)N1CC2(CCN([*:1])CC2)C1
242;1;CN1CC2(CCN([*:1])CC2)CC1=O
243;1;Cc1ncn([*:1])c1C
244;1;C[*:1]
245;1;O=C(C1CCN([*:1])CC1)N1CC(N2CCCC2)C1
246;1;NCC1CCN([*:1])CC1
247;1;Fc1ncccc1[*:1]
248;1;CN1CCCN(C(=O)C2CCN([*:1])CC2)CC1
249;1;Cn1nccc1[*:1]
250;1;C1CN(CC2CCN([*:1])CC2)CCO1
251;1;c1ncc([*:1])cn1
